station,line,order,latitude,longitude,degree,x_position,importance,label_show,label_offset
Gombak,LRT Kelana Jaya Line,1,3.226437,101.724989,1,0,3,1,-35
Taman Melati,LRT Kelana Jaya Line,2,3.223688,101.726384,1,140,1,0,0
Wangsa Maju,LRT Kelana Jaya Line,3,3.208613,101.733085,1,215,1,0,0
Sri Rampai,LRT Kelana Jaya Line,4,3.201344,101.744175,1,290,1,0,0
Setiawangsa,LRT Kelana Jaya Line,5,3.177713,101.75013,1,365,1,0,0
Jelatek,LRT Kelana Jaya Line,6,3.184833,101.74807,1,440,1,0,0
Dato' Keramat,LRT Kelana Jaya Line,7,3.166291,101.724998,1,515,1,0,0
Damai,LRT Kelana Jaya Line,8,3.166291,101.724998,1,590,1,0,0
Ampang Park,LRT Kelana Jaya Line,9,3.15976,101.707857,1,690,2,1,-35
KLCC,LRT Kelana Jaya Line,10,3.15976,101.707857,1,790,3,1,-35
Kampung Baru,LRT Kelana Jaya Line,11,3.166093,101.711031,1,880,1,0,0
Dang Wangi,LRT Kelana Jaya Line,12,3.1516964,101.6942371,1,955,1,0,0
Masjid Jamek (KJL),LRT Kelana Jaya Line,13,,,1,1030,2,1,-35
Pasar Seni (KJL),LRT Kelana Jaya Line,14,,,1,1160,3,1,-35
KL Sentral (KJL),LRT Kelana Jaya Line,15,,,1,1280,3,1,-35
Bangsar,LRT Kelana Jaya Line,16,,,1,1385,1,0,0
Abdullah Hukum,LRT Kelana Jaya Line,17,3.118973,101.672512,1,1460,1,0,0
Kerinchi,LRT Kelana Jaya Line,18,3.115596,101.668543,1,1535,1,0,0
Universiti,LRT Kelana Jaya Line,19,3.07154,101.702468,1,1610,1,0,0
Taman Jaya,LRT Kelana Jaya Line,20,3.099175,101.645023,1,1685,1,0,0
Asia Jaya,LRT Kelana Jaya Line,21,3.098357,101.590096,1,1760,1,0,0
Taman Paramount,LRT Kelana Jaya Line,22,42.858132,140.705498,1,1835,1,0,0
Taman Bahagia,LRT Kelana Jaya Line,23,-2.322023,104.459193,1,1910,1,0,0
Kelana Jaya,LRT Kelana Jaya Line,24,44.30585,-78.319477,1,1985,1,0,0
Lembah Subang,LRT Kelana Jaya Line,25,3.123983,101.582308,1,2060,1,0,0
Ara Damansara,LRT Kelana Jaya Line,26,3.123983,101.582308,1,2135,1,0,0
Glenmarie,LRT Kelana Jaya Line,27,3.082665,101.561558,1,2210,1,0,0
Subang Jaya,LRT Kelana Jaya Line,28,3.079168,101.598234,1,2285,2,1,-35
SS 15,LRT Kelana Jaya Line,29,,,1,2360,1,0,0
SS 18,LRT Kelana Jaya Line,30,,,1,2435,1,0,0
USJ 7 (KJL),LRT Kelana Jaya Line,31,,,1,2510,1,0,0
Taipan,LRT Kelana Jaya Line,32,3.055689,101.580523,1,2585,1,0,0
Wawasan,LRT Kelana Jaya Line,33,3.0792,101.580845,1,2660,1,0,0
USJ 21,LRT Kelana Jaya Line,34,,,1,2735,1,0,0
Alam Megah,LRT Kelana Jaya Line,35,3.006683,101.568885,1,2810,1,0,0
Subang Alam,LRT Kelana Jaya Line,36,3.017094,101.558721,1,2885,1,0,0
Putra Heights (KJL),LRT Kelana Jaya Line,37,,,1,2960,1,0,0
Sungai Buloh,MRT Kajang Line,1,,,1,0,3,1,-35
Kampung Selamat,MRT Kajang Line,2,,,1,140,1,0,0
Kwasa Damansara,MRT Kajang Line,3,,,1,215,1,0,0
Kwasa Sentral,MRT Kajang Line,4,,,1,290,1,0,0
Kota Damansara,MRT Kajang Line,5,,,1,365,1,0,0
Surian,MRT Kajang Line,6,,,1,440,1,0,0
Mutiara Damansara,MRT Kajang Line,7,,,1,515,1,0,0
Bandar Utama,MRT Kajang Line,8,,,1,590,2,1,-35
TTDI,MRT Kajang Line,9,,,1,665,1,0,0
Phileo Damansara,MRT Kajang Line,10,,,1,740,1,0,0
Pusat Bandar Damansara,MRT Kajang Line,11,,,1,815,1,0,0
Semantan,MRT Kajang Line,12,,,1,890,1,0,0
Muzium Negara,MRT Kajang Line,13,,,1,965,2,1,-35
Pasar Seni (SBK),MRT Kajang Line,14,,,1,1040,1,0,0
Merdeka,MRT Kajang Line,15,,,1,1115,1,0,0
Bukit Bintang,MRT Kajang Line,16,,,1,1190,3,1,-35
Tun Razak Exchange (TRX),MRT Kajang Line,17,,,1,1330,1,0,0
Cochrane,MRT Kajang Line,18,,,1,1405,1,0,0
Maluri (SBK),MRT Kajang Line,19,,,1,1480,1,0,0
Taman Pertama,MRT Kajang Line,20,,,1,1555,1,0,0
Taman Midah,MRT Kajang Line,21,,,1,1630,1,0,0
Taman Mutiara,MRT Kajang Line,22,,,1,1705,1,0,0
Taman Connaught,MRT Kajang Line,23,,,1,1780,1,0,0
Taman Suntex,MRT Kajang Line,24,,,1,1855,1,0,0
Sri Raya,MRT Kajang Line,25,,,1,1930,1,0,0
Bandar Tun Hussein Onn,MRT Kajang Line,26,,,1,2005,1,0,0
Batu 11 Cheras,MRT Kajang Line,27,,,1,2080,1,0,0
Bukit Dukung,MRT Kajang Line,28,,,1,2155,1,0,0
Sungai Jernih,MRT Kajang Line,29,,,1,2230,1,0,0
Stadium Kajang,MRT Kajang Line,30,,,1,2305,1,0,0
Kajang,MRT Kajang Line,31,,,1,2380,3,1,-35
